row_id,cluster_label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,-1
12,0
13,0
14,0
15,0
16,0
17,-1
18,0
19,0
20,0
21,-1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,-1
36,0
37,0
38,0
39,0
40,0
41,-1
42,0
43,-1
44,0
45,0
46,0
47,0
48,0
49,-1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,-1
63,-1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,-1
77,0
78,0
79,0
80,0
81,0
82,-1
83,-1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,-1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,-1
122,-1
123,0
124,0
125,-1
126,-1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,-1
138,0
139,0
140,0
141,0
142,-1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,-1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,-1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,-1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,-1
230,0
231,0
232,0
233,0
234,0
235,-1
236,-1
237,0
238,0
239,-1
240,-1
241,0
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,0
256,-1
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,0
269,-1
270,-1
271,-1
272,-1
273,0
274,-1
275,-1
276,0
277,-1
278,-1
279,-1
280,-1
281,-1
282,0
283,-1
284,0
285,-1
286,-1
287,-1
288,0
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,0
297,-1
298,-1
299,-1
300,-1
301,0
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,-1
312,-1
313,-1
314,-1
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,-1
331,0
332,0
333,0
334,-1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,-1
347,0
348,0
349,0
350,0
351,0
352,-1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,-1
365,-1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,-1
376,0
377,0
378,0
379,-1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,-1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,-1
422,-1
423,-1
424,-1
425,1
426,-1
427,1
428,-1
429,1
430,1
431,-1
432,-1
433,1
434,1
435,1
436,1
437,1
438,-1
439,-1
440,1
441,1
442,-1
443,1
444,-1
445,-1
446,-1
447,1
448,-1
449,-1
450,1
451,1
452,-1
453,-1
454,-1
455,-1
456,-1
457,1
458,1
459,-1
460,-1
461,-1
462,1
463,1
464,1
465,-1
466,1
467,1
468,1
469,-1
470,-1
471,-1
472,1
473,1
474,1
475,1
476,1
477,-1
478,-1
479,1
480,1
481,-1
482,-1
483,1
484,-1
485,-1
486,-1
487,1
488,1
489,-1
490,-1
491,-1
492,-1
493,-1
494,1
495,1
496,1
497,1
498,-1
499,1
500,1
501,1
502,1
503,1
504,1
505,-1
506,-1
507,1
508,-1
509,-1
510,1
511,1
512,-1
513,-1
514,-1
515,-1
516,-1
517,-1
518,1
519,-1
520,-1
521,-1
522,-1
523,-1
524,-1
525,-1
526,-1
527,-1
528,-1
529,-1
